,train_avg1,eval_avg1,train_avg2,eval_avg2,train_avg,eval_avg
0,0.2287399868061014,0.11504124162584237,0.0612874675471002,0.03459971072952362,0.29002745444072675,0.14964095235536598
1,0.0952352696425239,0.07854856009822327,0.027815542521608908,0.02313830973292442,0.12305081221610088,0.10168686983114768
2,0.06892918658862643,0.06103565533648651,0.02086197541925438,0.019457791794309093,0.08979116195317757,0.0804934471307956
3,0.06390089835156515,0.06028074052351242,0.01872991208361787,0.01791118077703358,0.0826308105808304,0.078191921300546
4,0.05542882861194807,0.053744328512307704,0.01707112972820164,0.01677524429006675,0.07249995846459957,0.07051957280237445
5,0.048729455478697274,0.04637382679404467,0.01584598678882164,0.015561926943534837,0.0645754422757244,0.06193575373757951
6,0.04693456089176051,0.05389697925920544,0.015140312257470364,0.015450379391972142,0.06207487306854361,0.06934735865117758
7,0.043344188772864015,0.04418979851445791,0.0143017339733499,0.014109708656816138,0.05764592273732464,0.05829950717127405
8,0.041601360406283504,0.040458660435149146,0.01371571895524192,0.01382792308203287,0.05531707928870174,0.05428658351718202
9,0.04201117228366511,0.04361011112857725,0.013475583621783513,0.013780819296939266,0.055486755962545126,0.05739093042551652
10,0.03959791579594215,0.03905808356593769,0.013036723132416191,0.013082014148754045,0.05263463908289498,0.05214009771469174
11,0.03935884254493596,0.03884349563687118,0.012790214181802456,0.012538882196461622,0.052149056634768605,0.051382377833332805
12,0.03743454071976211,0.037172591688169034,0.012355990668556348,0.012200839423872147,0.04979053148165586,0.04937343111204118
13,0.03680564870130648,0.03616132149056778,0.012159711565061989,0.011943775907645315,0.04896536030602831,0.048105097398213094
14,0.035909215306997214,0.036503414165779076,0.011876327201393097,0.012059432998478822,0.0477855425306135,0.0485628471642579
15,0.03500399354259961,0.035811132777008606,0.011646124165745866,0.011789847640608697,0.046650117692618294,0.0476009804176173
16,0.03448160978857422,0.036233174496192705,0.011507734045709064,0.011901965001565996,0.0459893438335995,0.048135139497758696
17,0.03408747421722536,0.03345752245973783,0.011289178523017578,0.011192221902598887,0.04537665267118011,0.044649744362336714
